id,name,description,category,brand,price,rating,in_stock,tags,date_added
P001,Wireless ANC Headphones Pro,"Over-ear wireless headphones with adaptive noise cancellation, spatial audio, and 40-hour battery life",Electronics,SoundMax,89.99,4.6,true,"bluetooth,headphones,wireless,audio,anc",2026-01-06T00:00:00Z
P002,RGB Mechanical Keyboard TKL,"Tenkeyless mechanical keyboard with hot-swappable switches, RGB lighting, and macro support",Electronics,KeyMaster,109.99,4.7,true,"keyboard,gaming,mechanical,rgb,hot-swappable",2026-01-12T00:00:00Z
P003,Adjustable Aluminum Laptop Stand,"Foldable ergonomic laptop stand with adjustable angle, airflow design, and anti-slip pads",Electronics,ErgoTech,34.99,4.4,true,"laptop,stand,ergonomic,aluminum,foldable",2026-01-18T00:00:00Z
P004,Ultra HD Streaming Webcam,"4K webcam with autofocus, dual microphones, privacy cover, and low-light correction",Electronics,VisionPro,74.99,4.5,true,"webcam,4k,streaming,camera,autofocus",2026-01-25T00:00:00Z
P005,Outdoor Bluetooth Speaker,"Rugged waterproof speaker with bass boost, party pairing, and 24-hour playtime",Electronics,SoundMax,54.99,4.5,true,"speaker,bluetooth,portable,waterproof,bass",2026-02-01T00:00:00Z
P006,USB-C Triple Display Dock,"13-in-1 USB-C docking station with triple display output, Ethernet, SD reader, and 100W charging",Electronics,TechConnect,84.99,4.3,true,"usb-c,docking,hub,hdmi,ethernet",2026-02-08T00:00:00Z
P007,Esports Wireless Mouse,"Lightweight wireless gaming mouse with 30000 DPI sensor, low-latency mode, and RGB accents",Electronics,KeyMaster,64.99,4.8,true,"mouse,gaming,wireless,dpi,rgb",2026-02-14T00:00:00Z
P008,Compact ANC Earbuds,"True wireless earbuds with adaptive ANC, transparency mode, and compact charging case",Electronics,SoundMax,99.99,4.5,false,"earbuds,wireless,anc,bluetooth,charging-case",2026-02-20T00:00:00Z
P009,Smart Display Home Hub,"Voice-controlled smart home display with Zigbee, Matter support, and video calling",Electronics,SmartLife,139.99,4.2,true,"smart-home,hub,display,voice,matter",2026-02-27T00:00:00Z
P010,QHD Curved Gaming Monitor,"27-inch curved QHD gaming monitor with 180Hz refresh rate, 1ms response, and HDR support",Electronics,VisionPro,329.99,4.7,true,"monitor,gaming,curved,qhd,180hz",2026-03-03T00:00:00Z
P011,Fast Charge Power Bank 20000mAh,"Slim high-capacity power bank with USB-C PD, digital battery display, and dual device charging",Electronics,TechConnect,39.99,4.4,true,"power-bank,charger,usb-c,portable,fast-charging",2026-03-06T00:00:00Z
P012,GPS Fitness Band,"Fitness tracker with GPS, SpO2, heart-rate monitoring, sleep tracking, and 10-day battery life",Electronics,FitGear,69.99,4.4,true,"fitness,tracker,gps,heart-rate,health",2026-03-10T00:00:00Z
P013,Anti-Fatigue Standing Mat,Cushioned standing desk mat with beveled edges and massage texture for long work sessions,Electronics,ErgoTech,42.99,4.1,true,"desk,mat,standing,ergonomic,comfort",2026-03-14T00:00:00Z
P014,Magnetic Wireless Charging Pad,"Qi2 magnetic wireless charger with fast charging, LED status light, and compact design",Electronics,TechConnect,24.99,4.3,true,"charger,wireless,qi2,magnetic,fast-charging",2026-03-17T00:00:00Z
